Accident_ID,Accident_Severity,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Time,Age_of_Vehicle,Number_of_Vehicles,Number_of_Casualties,Vehicle_Type,Vehicle_Manoeuvre,Sex_of_Driver,Age_Band_of_Driver,Driver_Home_Area_Type,Junction_Control,Carriageway_Hazards,Skidding_and_Overturning,Hit_Object_in_Carriageway,latitude,longitude
ACC00541,3,59.0914817042691,Darkness - lights unlit,Snow,Wet,Rural,Early Morning,18,4,2,Motorcycle,Turning right,Male,36-45,Rural area,Not at junction,Previous accident,Skidded,Other object,51.4881219490308,0.392493067965834
ACC00542,3,67.4154834058029,Darkness - lights unlit,Rain,Wet,Urban,Night,1,3,1,Truck,Turning right,Male,56-65,Rural area,Uncontrolled,Previous accident,Overturned,Other object,52.4538631646012,-0.311555089540914
ACC00543,3,86.9325685639362,Darkness,Snow,Icy,Rural,Night,10,6,6,Bus,Overtaking,Male,46-55,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,51.2397511279841,-0.285117330404229
ACC00544,2,16.2851185256079,Daylight,Rain,Wet,Urban,Evening,10,3,1,Motorcycle,Slowing or stopping,Female,65+,Urban area,Auto traffic signal,Parked vehicle,Skidded,Other object,51.946585700548,0.441468754397675
ACC00545,1,48.0175851449922,Darkness - lights unlit,Fine,Dry,Urban,Morning,2,8,1,Car,Going ahead,Male,56-65,Urban area,Give way,,,,51.3169450456452,0.274036106570209
ACC00546,1,14.8077578790477,Daylight,Fine,Dry,Urban,Morning,1,6,3,Car,Going ahead,Male,56-65,Urban area,Auto traffic signal,,,Central island,52.3089890402676,0.140775676657409
ACC00547,2,57.3210719787615,Darkness,Rain,Wet,Rural,Night,9,5,1,Motorcycle,Turning right,Male,46-55,Rural area,Uncontrolled,Previous accident,,Kerb,51.7550704229313,0.0031651983827754
ACC00548,1,8.07674757906473,Darkness - lights unlit,Fine,Dry,Urban,Morning,22,2,1,Van,Going ahead,Female,26-35,Urban area,Auto traffic signal,,,,52.3983133129694,-0.560223581422762
ACC00549,2,36.1168740255885,Daylight,Snow,Snow,Rural,Night,14,2,1,Motorcycle,Slowing or stopping,Male,46-55,Urban area,Give way,Pedestrian in carriageway,,Central island,52.3486862073637,-0.114495683648231
ACC00550,3,72.2059355667558,Darkness,Fog,Wet,Rural,Evening,8,5,1,Truck,Overtaking,Male,46-55,Rural area,Uncontrolled,Previous accident,Overturned,Other object,52.6196914849368,0.259601929018901
ACC00551,2,32.8050166146312,Daylight,Fine,Dry,Rural,Evening,19,4,1,Car,Turning right,Female,46-55,Rural area,Uncontrolled,,Overturned,,52.2948583051665,-0.247601832458463
ACC00552,3,65.5556505300878,Street lights,Snow,Icy,Rural,Night,2,1,1,Motorcycle,Overtaking,Male,65+,Urban area,Not at junction,Previous accident,Skidded,Other object,51.2917341945707,0.152136852233312
ACC00553,3,62.7281133014724,Darkness,Fog,Wet,Rural,Night,19,1,1,Motorcycle,Turning right,Female,46-55,Rural area,Auto traffic signal,Pedestrian in carriageway,Skidded,Kerb,52.5455279284466,-0.237326659335048
ACC00554,2,38.9551849135458,Daylight,Rain,Dry,Rural,Evening,14,1,3,Truck,Turning right,Female,46-55,Urban area,Give way,Parked vehicle,,,52.3958335816596,0.454114190958921
ACC00555,3,75.007235366739,Darkness,Rain,Icy,Rural,Night,7,6,1,Motorcycle,Turning right,Male,56-65,Rural area,Not at junction,Previous accident,Overturned,Kerb,51.0849891497584,0.100828232241074
ACC00556,2,74.3386271318061,Darkness - lights unlit,Rain,Wet,Rural,Evening,18,5,4,Car,Slowing or stopping,Male,46-55,Urban area,Auto traffic signal,,Skidded,Other object,51.3730065855467,0.213352601002361
ACC00557,1,2.42836899373462,Street lights,Fine,Dry,Urban,Morning,12,1,1,Motorcycle,Going ahead,Male,36-45,Urban area,Give way,Pedestrian in carriageway,,,52.0541236850785,0.262170962933937
ACC00558,3,64.0185303984133,Darkness - lights unlit,Rain,Icy,Urban,Early Morning,8,3,3,Motorcycle,Turning right,Female,26-35,Urban area,Uncontrolled,Previous accident,Overturned,Kerb,51.2535529660838,-0.316692317820065
ACC00559,3,51.5838800191543,Darkness,Snow,Wet,Rural,Early Morning,14,8,5,Motorcycle,Overtaking,Male,65+,Rural area,Uncontrolled,Previous accident,Skidded,Kerb,52.0464682896243,-0.392288389680657
ACC00560,3,62.491242462059,Darkness,Fog,Wet,Rural,Early Morning,6,8,5,Bus,Turning right,Female,65+,Urban area,Uncontrolled,Previous accident,Skidded,Central island,51.570577334,0.169621222589943
ACC00561,3,67.2829020581462,Darkness - lights unlit,Fog,Wet,Rural,Early Morning,6,4,3,Truck,Turning right,Male,46-55,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Other object,51.0130471762501,0.323211742114028
ACC00562,1,33.0296506808037,Daylight,Mist,Wet,Urban,Morning,10,2,1,Motorcycle,Turning right,Male,26-35,Urban area,Uncontrolled,,Skidded,,52.0748492894632,-0.0959944245883179
ACC00563,1,9.5388752215702,Daylight,Fine,Icy,Urban,Afternoon,1,1,1,Van,Going ahead,Male,36-45,Urban area,Auto traffic signal,,Skidded,,52.104399303287,0.134585151549047
ACC00564,1,44.2875621457417,Daylight,Mist,Dry,Rural,Morning,15,2,1,Van,Going ahead,Male,26-35,Urban area,Auto traffic signal,,,Central island,52.3347991343681,-0.592975541111483
ACC00565,3,62.5373627511751,Daylight,Rain,Wet,Rural,Night,1,1,8,Truck,Turning right,Female,56-65,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Kerb,52.6759355651879,0.44015341534479
ACC00566,2,29.5655000791153,Daylight,Fine,Wet,Rural,Evening,13,5,1,Motorcycle,Slowing or stopping,Female,36-45,Urban area,Give way,,,,52.2651999393433,-0.543194023054968
ACC00567,3,73.7150273571537,Darkness,Snow,Wet,Urban,Night,27,3,1,Truck,Turning right,Male,56-65,Rural area,Uncontrolled,Previous accident,Skidded,Other object,51.2232951440216,0.109687076289983
ACC00568,2,35.509566376909,Darkness,Snow,Wet,Urban,Night,7,1,2,Car,Slowing or stopping,Male,46-55,Urban area,Give way,Previous accident,,Central island,51.7110344405353,0.492065720089945
ACC00569,3,72.1855571192952,Darkness - lights unlit,Rain,Icy,Urban,Night,1,6,5,Motorcycle,Turning right,Male,46-55,Urban area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,51.0350570612629,0.0844615342667356
ACC00570,2,30.8271565379989,Darkness,Fine,Dry,Urban,Night,1,4,1,Truck,Turning right,Male,46-55,Rural area,Give way,,Skidded,Central island,51.3881442954548,0.43157151546546
ACC00571,1,29.8667857262181,Daylight,Fine,Wet,Urban,Morning,16,1,1,Motorcycle,Going ahead,Female,36-45,Urban area,Auto traffic signal,,Skidded,,52.3637348672819,-0.13120056754043
ACC00572,2,38.0377353289794,Darkness,Rain,Dry,Rural,Morning,5,2,7,Truck,Slowing or stopping,Male,46-55,Urban area,Auto traffic signal,,,,51.8789250306074,-0.145640217251262
ACC00573,1,37.3396189213677,Daylight,Fine,Dry,Urban,Night,1,1,1,Car,Turning right,Male,26-35,Urban area,Give way,,,,52.3498428217595,-0.209076974445687
ACC00574,2,18.102909863104,Street lights,Snow,Wet,Rural,Night,9,2,6,Van,Turning right,Female,65+,Rural area,Give way,,,Central island,52.6645605075775,0.420375658662862
ACC00575,1,20.1347709061419,Daylight,Fine,Dry,Urban,Morning,1,8,1,Van,Going ahead,Female,36-45,Rural area,Auto traffic signal,,,,51.2981311736599,0.272139860937223
ACC00576,1,19.352984988655,Daylight,Fine,Wet,Urban,Morning,14,6,5,Car,Turning right,Male,65+,Urban area,Give way,,,,52.1074146601982,-0.0524062411622806
ACC00577,1,17.7601617073043,Street lights,Snow,Wet,Urban,Night,1,1,3,Van,Going ahead,Female,36-45,Urban area,Auto traffic signal,,,Kerb,51.2898910102684,0.0974062734095725
ACC00578,3,85.7779412092855,Darkness,Rain,Wet,Rural,Afternoon,18,2,4,Car,Overtaking,Male,56-65,Rural area,Auto traffic signal,Pedestrian in carriageway,Skidded,Kerb,51.0205423673745,-0.0035175979420821
ACC00579,3,69.6910581528516,Darkness,Rain,Icy,Rural,Early Morning,29,1,1,Truck,Turning right,Female,65+,Urban area,Not at junction,Previous accident,Skidded,Kerb,52.3182093001294,-0.407006441463469
ACC00580,2,75.0807089863028,Darkness,Fine,Wet,Rural,Evening,19,1,1,Truck,Turning right,Female,46-55,Rural area,Auto traffic signal,,,Central island,51.7900273255379,0.0041421098755501
ACC00581,3,75.9016702449393,Darkness,Rain,Icy,Rural,Early Morning,36,6,3,Bus,Slowing or stopping,Female,46-55,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Other object,51.7243399322064,-0.51408429438314
ACC00582,1,45.4661174624836,Darkness - lights unlit,Fine,Dry,Urban,Afternoon,1,2,1,Van,Turning right,Female,36-45,Urban area,Give way,,,,51.7375478037046,-0.164210039229819
ACC00583,2,44.3342320307178,Darkness,Rain,Wet,Rural,Evening,20,1,2,Truck,Turning right,Female,26-35,Rural area,Give way,,Skidded,Kerb,51.6036611028174,-0.549646026628402
ACC00584,2,58.1422791734796,Darkness,Fine,Snow,Rural,Evening,7,1,1,Motorcycle,Slowing or stopping,Female,46-55,Rural area,Uncontrolled,Parked vehicle,,Central island,51.9103642612397,-0.0332190994761653
ACC00585,3,33.8977202660395,Darkness,Fog,Icy,Urban,Afternoon,5,3,4,Motorcycle,Overtaking,Male,65+,Rural area,Not at junction,Previous accident,Skidded,Central island,51.1720633630896,-0.26467023262655
ACC00586,3,59.5401745275606,Darkness,Mist,Icy,Rural,Night,1,3,2,Truck,Overtaking,Male,65+,Rural area,Not at junction,Previous accident,Overturned,Kerb,51.9649536960949,0.172689768840127
ACC00587,1,20.5579662938324,Daylight,Fine,Dry,Urban,Morning,1,2,1,Van,Going ahead,Male,46-55,Urban area,Auto traffic signal,Pedestrian in carriageway,,,51.6814474084982,0.0379821661709445
ACC00588,3,86.0136271132427,Darkness,Rain,Icy,Rural,Night,25,5,2,Motorcycle,Overtaking,Female,56-65,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Kerb,52.0228369384875,-0.466086126213633
ACC00589,3,63.3673453297483,Darkness,Rain,Icy,Rural,Morning,1,5,2,Motorcycle,Turning right,Male,56-65,Urban area,Give way,Previous accident,Overturned,Other object,52.521521686265,0.285327078529463
ACC00590,2,39.8717139644494,Darkness,Rain,Icy,Urban,Night,34,1,1,Truck,Turning right,Female,46-55,Urban area,Uncontrolled,Previous accident,Skidded,Other object,51.0837154823941,-0.337071799515964
ACC00591,2,50.6076442762395,Daylight,Snow,Snow,Urban,Evening,15,1,1,Motorcycle,Slowing or stopping,Male,65+,Urban area,Auto traffic signal,Parked vehicle,,,51.3920788976244,0.127309989705132
ACC00592,3,53.2455280381265,Darkness,Rain,Wet,Rural,Night,4,4,1,Truck,Overtaking,Male,56-65,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Other object,52.2161710692468,0.293204333338671
ACC00593,2,42.3150944832525,Daylight,Mist,Snow,Rural,Evening,16,1,1,Motorcycle,Overtaking,Male,36-45,Rural area,Auto traffic signal,Previous accident,,Other object,52.5551857536251,-0.0198148498864435
ACC00594,2,60.4162722449174,Darkness,Rain,Wet,Urban,Evening,13,1,3,Van,Turning right,Female,46-55,Rural area,Auto traffic signal,Previous accident,,,51.9668375008019,-0.467789304409907
ACC00595,2,87.8803962995657,Daylight,Rain,Dry,Rural,Evening,5,1,2,Car,Turning right,Male,26-35,Rural area,Uncontrolled,Parked vehicle,Skidded,,51.4383692311962,0.37614822136586
ACC00596,1,19.6058142320417,Daylight,Mist,Dry,Urban,Afternoon,1,3,3,Motorcycle,Going ahead,Male,56-65,Urban area,Auto traffic signal,,Overturned,Central island,51.0958383443066,0.365771752489577
ACC00597,1,17.077063462277,Darkness,Fine,Dry,Rural,Morning,25,4,1,Motorcycle,Turning right,Male,36-45,Urban area,Give way,,,,52.1745941547742,-0.53361270761038
ACC00598,2,38.6613838432464,Daylight,Rain,Wet,Urban,Evening,10,2,1,Truck,Turning right,Female,46-55,Rural area,Give way,,Skidded,Central island,51.8140157869139,-0.497492335430456
ACC00599,1,32.6817806046801,Daylight,Fine,Dry,Urban,Morning,5,1,1,Motorcycle,Turning right,Male,26-35,Urban area,Give way,,Skidded,,51.1550503751828,-0.133887920986361
ACC00600,1,56.5209234955407,Street lights,Fine,Dry,Urban,Morning,20,2,1,Motorcycle,Turning right,Male,26-35,Rural area,Auto traffic signal,,,Central island,51.4170934864583,-0.251562155225721
ACC00601,3,52.6789858780344,Darkness,Rain,Icy,Urban,Night,17,3,4,Van,Turning right,Male,65+,Rural area,Uncontrolled,Previous accident,Skidded,Other object,52.4698245907203,0.418521779443568
ACC00602,2,36.0916292423957,Daylight,Fine,Dry,Urban,Evening,21,2,1,Motorcycle,Overtaking,Female,46-55,Urban area,Give way,Parked vehicle,,Central island,51.4736681662526,-0.0006393872856911
ACC00603,3,58.1608906732502,Daylight,Rain,Icy,Urban,Night,7,5,8,Bus,Turning right,Male,36-45,Rural area,Not at junction,Previous accident,Skidded,Kerb,52.6928275166858,0.349004443850919
ACC00604,2,23.7370887526257,Darkness,Snow,Dry,Urban,Night,2,3,1,Motorcycle,Turning right,Male,65+,Urban area,Give way,Pedestrian in carriageway,,,51.6939282390896,0.191737554321265
ACC00605,3,53.445823401738,Darkness,Rain,Wet,Rural,Early Morning,17,6,4,Truck,Turning right,Male,46-55,Rural area,Not at junction,Previous accident,Skidded,Other object,52.5399364701287,0.181325018611922
ACC00606,1,-9.4892331666064,Daylight,Fine,Wet,Urban,Morning,1,2,3,Car,Going ahead,Female,36-45,Urban area,Auto traffic signal,,,Central island,51.4871201286181,-0.0328443685628246
ACC00607,1,43.5020151006358,Daylight,Fine,Snow,Urban,Night,8,1,5,Car,Turning right,Male,26-35,Urban area,Auto traffic signal,,,,51.4049107277794,-0.382092603964286
ACC00608,3,69.7909012429312,Darkness,Snow,Dry,Rural,Early Morning,8,7,2,Bus,Overtaking,Male,46-55,Urban area,Not at junction,Pedestrian in carriageway,Skidded,Kerb,51.323586758066,0.133716389342185
ACC00609,1,13.0879894614804,Daylight,Fine,Snow,Urban,Afternoon,7,3,1,Car,Going ahead,Female,26-35,Urban area,Uncontrolled,,Overturned,Other object,51.3743114433147,0.217953307794216
ACC00610,1,9.15810332569051,Daylight,Fine,Icy,Urban,Morning,17,1,1,Motorcycle,Going ahead,Male,36-45,Urban area,Give way,,,Central island,51.6574500887109,-0.328186442588839
ACC00611,1,-6.81038970696449,Street lights,Fine,Dry,Urban,Afternoon,1,1,1,Van,Turning right,Male,36-45,Urban area,Give way,Parked vehicle,,Central island,51.2113052799254,0.121778021449179
ACC00612,3,15.6733652277728,Street lights,Fine,Icy,Rural,Night,14,6,1,Motorcycle,Turning right,Male,46-55,Rural area,Uncontrolled,Previous accident,Overturned,Kerb,51.2771288835704,0.218327316248726
ACC00613,3,39.8764729409473,Darkness,Rain,Wet,Rural,Early Morning,1,4,6,Bus,Overtaking,Female,65+,Urban area,Auto traffic signal,Pedestrian in carriageway,Overturned,Other object,51.0583564982712,-0.559396299035874
ACC00614,2,53.0400861193601,Daylight,Rain,Dry,Rural,Night,6,5,4,Truck,Slowing or stopping,Male,36-45,Rural area,Give way,Parked vehicle,,,51.1565368383102,-0.516844537322239
ACC00615,1,33.7145780899645,Daylight,Fine,Wet,Urban,Afternoon,11,2,3,Van,Going ahead,Female,36-45,Urban area,Give way,,,,51.1713226023416,-0.579944159056002
ACC00616,2,54.1874022781301,Darkness,Fine,Snow,Rural,Night,4,5,1,Motorcycle,Slowing or stopping,Male,46-55,Rural area,Auto traffic signal,Parked vehicle,,Central island,51.4036971422787,-0.0754040319144973
ACC00617,1,60.8189412023098,Daylight,Fog,Dry,Urban,Afternoon,1,3,1,Motorcycle,Going ahead,Female,26-35,Urban area,Auto traffic signal,Parked vehicle,Overturned,,51.3268913319747,0.206975818617542
ACC00618,2,69.9757894393322,Darkness,Rain,Wet,Urban,Night,16,1,1,Motorcycle,Slowing or stopping,Female,46-55,Rural area,Uncontrolled,Previous accident,,Central island,51.0335235447473,-0.286907096866749
ACC00619,1,50.7807149091799,Daylight,Fine,Dry,Urban,Morning,1,4,3,Bus,Going ahead,Female,26-35,Urban area,Auto traffic signal,,,,51.1904661336857,-0.179866396381814
ACC00620,3,60.3053524361405,Darkness,Rain,Dry,Rural,Night,18,2,2,Motorcycle,Overtaking,Male,65+,Rural area,Uncontrolled,Previous accident,Overturned,Kerb,51.5815248764832,0.0415411942757265
ACC00621,1,61.187836141769,Daylight,Mist,Dry,Urban,Early Morning,1,1,1,Car,Turning right,Female,36-45,Urban area,Auto traffic signal,,,Other object,52.6790356135943,-0.489298773624113
ACC00622,2,54.7050747558982,Daylight,Rain,Icy,Rural,Afternoon,1,3,2,Car,Slowing or stopping,Female,36-45,Urban area,Give way,Previous accident,,,52.3306507076123,0.167093873517148
ACC00623,3,77.8625828255677,Darkness,Rain,Wet,Rural,Night,10,1,4,Motorcycle,Overtaking,Female,46-55,Rural area,Not at junction,Previous accident,Skidded,Kerb,51.0234188361191,0.176657862150919
ACC00624,3,69.9015933001353,Darkness,Snow,Wet,Urban,Early Morning,27,2,2,Motorcycle,Turning right,Female,56-65,Urban area,Auto traffic signal,Pedestrian in carriageway,Overturned,Kerb,51.5702048676393,0.0623094341086415
ACC00625,1,11.5093033920953,Daylight,Fine,Dry,Urban,Morning,21,1,1,Car,Turning right,Male,65+,Urban area,Auto traffic signal,,,Kerb,51.4280299029031,-0.240892560931609
ACC00626,2,80.3463226480045,Daylight,Snow,Dry,Rural,Evening,8,2,1,Car,Slowing or stopping,Female,36-45,Urban area,Auto traffic signal,,Overturned,Central island,52.4332869261799,-0.21417146377571
ACC00627,1,37.4103031861394,Daylight,Fine,Dry,Urban,Morning,1,5,1,Motorcycle,Turning right,Male,36-45,Urban area,Auto traffic signal,Parked vehicle,,,52.4713621140198,0.0765142648427533
ACC00628,2,45.9285964116403,Daylight,Rain,Snow,Rural,Evening,10,3,3,Car,Turning right,Female,46-55,Rural area,Uncontrolled,Previous accident,Skidded,Central island,52.0577359986762,-0.165362626747976
ACC00629,1,34.4645513164388,Daylight,Fine,Dry,Urban,Morning,1,1,1,Van,Turning right,Female,26-35,Urban area,Give way,,Skidded,,52.648794005403,-0.233697895635982
ACC00630,3,35.568492659103,Darkness - lights unlit,Fog,Wet,Urban,Morning,21,3,7,Motorcycle,Overtaking,Female,46-55,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Kerb,51.6473813850683,-0.36479072469626
ACC00631,2,45.2071710651715,Daylight,Rain,Snow,Urban,Evening,13,4,1,Motorcycle,Going ahead,Male,46-55,Urban area,Auto traffic signal,Parked vehicle,Skidded,,52.4330530834826,-0.0314556219089507
ACC00632,3,63.4096633839248,Darkness,Rain,Icy,Rural,Morning,27,4,4,Motorcycle,Turning right,Female,65+,Urban area,Not at junction,Pedestrian in carriageway,Overturned,Kerb,52.5030806765396,0.25957834995812
ACC00633,2,37.9551478595288,Daylight,Rain,Snow,Urban,Evening,19,1,1,Motorcycle,Slowing or stopping,Female,46-55,Rural area,Auto traffic signal,Previous accident,,Central island,51.1682189128671,0.199713700169696
ACC00634,1,58.6059671015249,Daylight,Fine,Wet,Rural,Morning,9,1,1,Van,Turning right,Female,36-45,Urban area,Give way,,Skidded,,51.6832825531357,0.474480361361725
ACC00635,1,54.4389155287004,Daylight,Fine,Dry,Urban,Evening,7,5,3,Car,Going ahead,Male,56-65,Urban area,Give way,,,,51.5936562768415,-0.520581750122907
ACC00636,1,22.5003788930318,Daylight,Rain,Snow,Urban,Morning,1,1,1,Car,Going ahead,Female,56-65,Urban area,Give way,,,,52.6942826230256,-0.264852946992155
ACC00637,2,30.4475626812863,Daylight,Fine,Wet,Urban,Night,1,1,5,Car,Slowing or stopping,Female,36-45,Urban area,Give way,,,,52.3102386460212,-0.0147618444832708
ACC00638,2,48.2559975498945,Darkness,Rain,Dry,Urban,Evening,6,3,2,Car,Slowing or stopping,Female,36-45,Rural area,Auto traffic signal,Parked vehicle,,Central island,51.6394806877328,-0.499491415382444
ACC00639,1,49.7649635989643,Daylight,Mist,Dry,Urban,Morning,1,1,1,Motorcycle,Going ahead,Female,36-45,Urban area,Give way,,,,51.6172399038777,0.452151538129428
ACC00640,2,18.1945335921284,Darkness,Fine,Wet,Urban,Night,11,3,1,Motorcycle,Turning right,Male,36-45,Urban area,Give way,,,Other object,52.2161004612504,-0.420975981439381
ACC00641,1,9.87935673933276,Daylight,Fine,Dry,Urban,Morning,1,1,5,Motorcycle,Turning right,Female,26-35,Urban area,Uncontrolled,Parked vehicle,,,51.1294224611335,0.0975144345139645
ACC00642,1,43.1468773058787,Daylight,Fine,Wet,Urban,Morning,7,1,1,Van,Turning right,Female,26-35,Urban area,Give way,,,,51.6859208725611,0.459426622748091
ACC00643,1,52.8418272397968,Darkness,Fog,Snow,Urban,Afternoon,1,2,3,Car,Turning right,Male,26-35,Urban area,Auto traffic signal,Previous accident,,,51.2947351120011,-0.576960542865996
ACC00644,3,92.1937515336864,Darkness,Fog,Icy,Rural,Night,27,4,3,Car,Going ahead,Female,65+,Rural area,Give way,Pedestrian in carriageway,Skidded,Central island,51.978034406059,0.0664292369854689
ACC00645,1,8.99895228310841,Daylight,Fine,Snow,Urban,Early Morning,2,7,1,Van,Going ahead,Male,26-35,Urban area,Give way,,,Central island,51.7338212285905,-0.520707230401459
ACC00646,3,77.9523103372724,Darkness,Rain,Icy,Rural,Night,2,4,4,Bus,Overtaking,Female,65+,Urban area,Uncontrolled,Previous accident,Overturned,Other object,51.9521579600479,0.40863828138646
ACC00647,2,57.5266656434376,Darkness,Snow,Wet,Urban,Night,14,1,2,Truck,Overtaking,Male,46-55,Rural area,Give way,Parked vehicle,,,51.6046685628204,0.22153293342573
ACC00648,1,-1.01817462108277,Daylight,Fine,Wet,Urban,Morning,2,1,1,Van,Going ahead,Male,36-45,Urban area,Auto traffic signal,,,,52.5218516240682,0.265593724880825
ACC00649,3,24.6501652943478,Darkness,Rain,Wet,Rural,Night,10,1,4,Bus,Overtaking,Male,56-65,Rural area,Uncontrolled,Pedestrian in carriageway,Overturned,Other object,52.6346847439706,-0.35643022535381
ACC00650,1,48.8182176775869,Daylight,Fine,Icy,Urban,Morning,1,5,3,Car,Turning right,Male,26-35,Urban area,Auto traffic signal,,,,52.6913432984989,0.314510865824281
ACC00651,1,10.329385989571,Daylight,Fine,Dry,Rural,Morning,7,1,1,Car,Turning right,Male,36-45,Urban area,Give way,Parked vehicle,,,52.0770005082935,0.358066036120694
ACC00652,1,3.71684898315825,Street lights,Fine,Wet,Urban,Afternoon,3,4,1,Car,Turning right,Female,46-55,Urban area,Auto traffic signal,,,,52.0156022736895,-0.375856894959542
ACC00653,3,69.0706206654509,Darkness,Rain,Wet,Rural,Night,20,3,6,Truck,Slowing or stopping,Female,56-65,Urban area,Uncontrolled,Previous accident,Skidded,Other object,51.2411543940983,-0.0894556934225783
ACC00654,3,69.806738448105,Darkness,Rain,Wet,Rural,Early Morning,20,1,4,Bus,Turning right,Female,56-65,Rural area,Not at junction,Previous accident,Skidded,Other object,51.3949468308174,0.347484990208492
ACC00655,3,71.492645707445,Darkness - lights unlit,Rain,Icy,Rural,Early Morning,11,2,1,Truck,Turning right,Female,46-55,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Central island,51.7496636673102,-0.491014349027835
ACC00656,2,38.6116366298285,Darkness,Rain,Snow,Urban,Night,27,2,4,Motorcycle,Slowing or stopping,Female,26-35,Urban area,Not at junction,Parked vehicle,,Central island,52.2067060273638,0.0461219547955119
ACC00657,1,106.909493831961,Daylight,Mist,Dry,Urban,Morning,1,1,3,Motorcycle,Going ahead,Female,36-45,Urban area,Auto traffic signal,,,,52.1416744325078,-0.407677510013546
ACC00658,3,84.4700433808754,Darkness - lights unlit,Fog,Icy,Rural,Night,15,8,1,Bus,Turning right,Male,65+,Rural area,Give way,Previous accident,Overturned,Other object,52.2495656931866,0.245110859591258
ACC00659,1,53.1914980067156,Daylight,Fine,Icy,Urban,Morning,1,1,1,Van,Going ahead,Male,36-45,Urban area,Give way,Parked vehicle,,,51.3921386799202,-0.396136802518414
ACC00660,1,12.3547880179212,Daylight,Fine,Dry,Urban,Morning,3,6,3,Car,Going ahead,Female,26-35,Urban area,Auto traffic signal,,,,52.5370697806394,-0.532515410178265
ACC00661,1,71.2471766816586,Daylight,Fine,Wet,Urban,Night,3,5,1,Motorcycle,Turning right,Female,26-35,Urban area,Give way,,,Other object,51.2782151028717,-0.043562037752988
ACC00662,2,19.8935443516296,Darkness,Fine,Wet,Urban,Evening,7,3,3,Car,Slowing or stopping,Female,36-45,Urban area,Uncontrolled,Previous accident,,,52.6412789033477,-0.443682344184159
ACC00663,2,21.7921457417702,Daylight,Rain,Wet,Rural,Evening,16,3,2,Truck,Turning right,Male,36-45,Rural area,Give way,,,Central island,52.4865554599505,0.276672256785394
ACC00664,1,15.770168424904,Daylight,Fine,Dry,Urban,Afternoon,18,1,3,Bus,Going ahead,Male,26-35,Urban area,Give way,Previous accident,Overturned,Other object,52.3589976781454,0.473461130401059
ACC00665,3,68.8021388223649,Darkness - lights unlit,Rain,Icy,Urban,Night,28,5,3,Motorcycle,Overtaking,Male,65+,Rural area,Give way,Pedestrian in carriageway,Overturned,Kerb,51.8856727119436,0.177719619134206
ACC00666,3,60.7634685418055,Darkness,Fog,Wet,Urban,Early Morning,11,2,1,Truck,Turning right,Female,65+,Rural area,Uncontrolled,Pedestrian in carriageway,Skidded,Kerb,52.0965300581349,-0.483296778525759
ACC00667,2,12.4713703043919,Darkness,Rain,Wet,Rural,Evening,7,3,3,Motorcycle,Turning right,Female,46-55,Rural area,Auto traffic signal,,,,51.5997063919568,-0.130028084145125
ACC00668,1,12.0445509088678,Daylight,Fine,Dry,Urban,Morning,23,1,1,Car,Going ahead,Female,36-45,Urban area,Give way,Parked vehicle,,,51.802513806687,-0.312123747890503
ACC00669,3,64.1142930327138,Darkness,Snow,Wet,Rural,Night,5,3,4,Bus,Overtaking,Female,65+,Rural area,Not at junction,Pedestrian in carriageway,Overturned,Other object,51.1728938822471,0.218462960739217
ACC00670,1,51.2065160719311,Daylight,Fine,Wet,Urban,Morning,12,3,3,Motorcycle,Going ahead,Male,36-45,Urban area,Give way,Parked vehicle,,,51.7232419456479,0.292946766899151
ACC00671,1,52.8472636274235,Street lights,Fine,Dry,Urban,Morning,1,2,1,Car,Turning right,Male,36-45,Urban area,Give way,,,,52.6660553779853,0.161377475863545
ACC00672,3,28.8873429233936,Darkness - lights unlit,Rain,Snow,Urban,Night,26,2,6,Motorcycle,Turning right,Female,46-55,Rural area,Not at junction,Previous accident,Overturned,Other object,51.8386507855682,-0.579311901107221
ACC00673,2,23.3884186370376,Darkness,Rain,Dry,Urban,Night,5,2,5,Car,Slowing or stopping,Male,46-55,Rural area,Auto traffic signal,,Skidded,Central island,52.5620498550013,0.0329070713082886
ACC00674,1,48.6242333747655,Daylight,Fine,Wet,Urban,Morning,1,3,1,Motorcycle,Turning right,Male,26-35,Urban area,Auto traffic signal,Pedestrian in carriageway,,,52.3862844283732,-0.509380849822573
ACC00675,1,11.5157408092896,Street lights,Fine,Dry,Urban,Afternoon,1,2,1,Motorcycle,Going ahead,Male,36-45,Urban area,Auto traffic signal,,,Other object,51.9294074748836,0.0403875061939006
ACC00676,3,74.0529063419661,Darkness,Snow,Icy,Rural,Night,9,5,4,Motorcycle,Overtaking,Female,36-45,Rural area,Not at junction,Pedestrian in carriageway,Skidded,Other object,51.3318537567796,-0.424611428171795
